"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.530335834E2,6.505785833E1,2.545849333E1,1.831498167E1,1.263128281E0,2.005800018E2,1.600000024E0,1.080000019E1
1.540335834E2,6.505784833E1,2.545849667E1,1.831498592E1,1.269819736E0,1.943399963E2,1.500000000E0,1.089999962E1
1.550335834E2,6.505784000E1,2.545850167E1,1.841498972E1,1.249230862E0,1.912700043E2,1.500000000E0,1.110000038E1
1.560335834E2,6.505783000E1,2.545850333E1,1.891499379E1,1.271878600E0,1.862899933E2,1.500000000E0,1.150000000E1
1.570335834E2,6.505782000E1,2.545851167E1,1.931499860E1,1.259525299E0,1.735399933E2,1.600000024E0,1.130000019E1
1.580335834E2,6.505780833E1,2.545852000E1,1.971500405E1,1.268275499E0,1.725200043E2,1.600000024E0,1.130000019E1
1.590335834E2,6.505779667E1,2.545853000E1,1.961500968E1,1.207023621E0,1.583600006E2,1.600000024E0,1.100000000E1
1.600335834E2,6.505779000E1,2.545853333E1,2.001501264E1,1.171507835E0,1.769100037E2,1.600000024E0,1.089999962E1
1.610335834E2,6.505778500E1,2.545853500E1,2.041501477E1,1.104079127E0,1.552799988E2,1.600000024E0,1.100000000E1
1.620335834E2,6.505777833E1,2.545853167E1,2.081501700E1,1.055180550E0,1.811000061E2,1.600000024E0,1.080000019E1
1.630335834E2,6.505776833E1,2.545852833E1,2.121502053E1,1.050548077E0,1.795700073E2,1.600000024E0,1.100000000E1
1.640335834E2,6.505775833E1,2.545851833E1,2.131502333E1,1.021208882E0,2.048800049E2,1.700000048E0,1.069999981E1
1.650335834E2,6.505774500E1,2.545851833E1,2.121502852E1,1.041283011E0,1.825299988E2,1.700000048E0,1.069999981E1
1.660335834E2,6.505773500E1,2.545852833E1,2.161503351E1,1.053121686E0,1.805099945E2,1.600000024E0,1.080000019E1
1.670335834E2,6.505772000E1,2.545852833E1,2.141503935E1,1.053121686E0,1.770700073E2,1.700000048E0,1.069999981E1
1.680335834E2,6.505770500E1,2.545853500E1,2.131504592E1,1.044886112E0,1.726699982E2,1.600000024E0,1.060000038E1
1.690335834E2,6.505769333E1,2.545853833E1,2.101505082E1,1.060842514E0,1.776799927E2,1.600000024E0,1.039999962E1
1.700335834E2,6.505768000E1,2.545853500E1,2.071505565E1,1.081946135E0,1.848500061E2,1.500000000E0,1.050000000E1
1.710335834E2,6.505767000E1,2.545852833E1,2.061505882E1,1.143712759E0,1.789100037E2,1.500000000E0,1.050000000E1
1.720335834E2,6.505766000E1,2.545852500E1,2.071506235E1,1.152977824E0,1.803699951E2,1.500000000E0,1.030000019E1
1.730335834E2,6.505764667E1,2.545852167E1,2.081506717E1,1.169448853E0,1.849100037E2,1.500000000E0,1.039999962E1
1.740335834E2,6.505763833E1,2.545851500E1,2.071506969E1,1.209597230E0,1.909400024E2,1.500000000E0,1.030000019E1
1.750335834E2,6.505762500E1,2.545851500E1,2.051507488E1,1.203935266E0,1.842899933E2,1.500000000E0,1.050000000E1
1.760335834E2,6.505761167E1,2.545851333E1,2.041507989E1,1.208053112E0,1.903399963E2,1.500000000E0,1.039999962E1
1.770335834E2,6.505759667E1,2.545851167E1,2.051508555E1,1.227097750E0,1.788399963E2,1.500000000E0,1.069999981E1
1.780335834E2,6.505758500E1,2.545851167E1,2.021509009E1,1.219376922E0,1.766699982E2,1.500000000E0,1.069999981E1
1.790335834E2,6.505757333E1,2.545852000E1,2.011509554E1,1.218347549E0,1.632200012E2,1.500000000E0,1.119999981E1
1.800335834E2,6.505756167E1,2.545852833E1,2.021510099E1,1.204450011E0,1.693099976E2,1.600000024E0,1.060000038E1
1.810335834E2,6.505754833E1,2.545853500E1,1.971510691E1,1.192611337E0,1.667400055E2,1.600000024E0,1.060000038E1
1.820335834E2,6.505753500E1,2.545853333E1,1.941511192E1,1.246142507E0,1.917899933E2,1.600000024E0,1.039999962E1
