"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.795369941E1,5.706182718E-1,9.340143204E-1,1.957464695E0
3.796169537E1,3.244446516E-1,7.935686111E-1,1.680481434E0
3.796969111E1,1.002984047E-1,6.425209045E-1,1.511988163E0
3.797768592E1,-1.814802885E-1,4.085960388E-1,1.341663837E0
3.798571304E1,-3.779065609E-1,2.251300812E-1,1.248962402E0
3.799370884E1,-4.127101898E-1,2.188205719E-2,1.074250221E0
3.800170396E1,-3.573220968E-1,-1.732282639E-1,8.881068230E-1
3.800969993E1,-2.534649372E-1,-2.087478638E-1,7.251863480E-1
3.801769474E1,-1.307853460E-1,-2.350664139E-1,3.979883194E-1
3.802569109E1,-5.509531498E-2,-2.292737961E-1,2.672195435E-2
3.803368690E1,1.810526848E-2,-2.426815033E-1,-4.503834248E-1
3.804171332E1,1.458010674E-1,-2.141084671E-1,-9.154484272E-1
3.804970844E1,2.555096745E-1,-2.757215500E-1,-1.280229807E0
3.805770387E1,3.690457940E-1,-3.597602844E-1,-1.603104591E0
3.806569999E1,4.966362119E-1,-5.395317078E-1,-1.789784431E0
3.807369564E1,6.269028187E-1,-7.518701553E-1,-1.990461826E0
3.808169176E1,7.409090996E-1,-1.010869026E0,-2.150605202E0
3.808968749E1,7.843734026E-1,-1.182036877E0,-2.216462612E0
3.809771338E1,8.078148365E-1,-1.356337070E0,-2.257882595E0
3.810570850E1,7.677063942E-1,-1.452682018E0,-2.181152344E0
3.811370454E1,5.838754177E-1,-1.426473618E0,-2.025265455E0
3.812169989E1,3.209184408E-1,-1.364541054E0,-1.899397492E0
3.812969593E1,1.303893328E-2,-1.200662136E0,-1.754600286E0
3.813769174E1,-3.027366996E-1,-9.857921600E-1,-1.568510771E0
3.814568771E1,-4.691644907E-1,-8.736667633E-1,-1.429224253E0
3.815371298E1,-5.711143613E-1,-7.856349945E-1,-1.300253868E0
3.816170940E1,-5.178614259E-1,-8.252363205E-1,-1.137161493E0
3.816970414E1,-5.118365884E-1,-8.468904495E-1,-1.015202999E0
3.817769987E1,-4.014867544E-1,-8.795337677E-1,-8.953886032E-1
3.818569507E1,-3.345009089E-1,-8.517951965E-1,-7.333173752E-1
3.819369103E1,-2.503162622E-1,-7.300891876E-1,-5.337257385E-1
3.820168623E1,-1.020930409E-1,-5.484647751E-1,-4.122598171E-1
3.820971296E1,1.651084423E-2,-3.784465790E-1,-3.667037487E-1
3.821770869E1,-9.632050991E-3,-1.573963165E-1,-4.908130169E-1
3.822570474E1,-1.474731565E-1,1.703081131E-1,-6.777133942E-1
3.823370024E1,-3.618330359E-1,5.478334427E-1,-8.907213211E-1
3.824169566E1,-6.460297108E-1,1.054884911E0,-1.086154461E0
3.824969132E1,-8.968783021E-1,1.507573128E0,-1.119604349E0
3.825768713E1,-1.203610897E0,1.870003700E0,-1.154106379E0
3.826571271E1,-1.568351030E0,2.229305267E0,-1.113665104E0
3.827370906E1,-1.872899294E0,2.448624611E0,-9.905552864E-1
3.828170472E1,-2.033786774E0,2.517856598E0,-7.817330360E-1
3.828970022E1,-1.899369121E0,2.474617004E0,-6.389842033E-1
3.829769595E1,-1.700670838E0,2.488345146E0,-4.982686043E-1
3.830569138E1,-1.458228588E0,2.649972916E0,-2.950766087E-1
3.831368796E1,-1.108164549E0,2.706035614E0,-2.764379978E-1
3.832171292E1,-7.417337298E-1,2.776764870E0,-3.235368729E-1
3.832970835E1,-6.219767928E-1,2.910774231E0,-4.354572296E-1
3.833770470E1,-7.052322030E-1,3.096779823E0,-6.667795181E-1
3.834570074E1,-8.649235964E-1,3.015033722E0,-9.489445686E-1
3.835369594E1,-8.824187517E-1,2.642108917E0,-9.601678848E-1
3.836169167E1,-8.399611712E-1,2.068764687E0,-6.732032299E-1
3.836971786E1,-6.696943045E-1,1.598237991E0,-3.843481541E-1
3.837771383E1,-5.438901186E-1,1.103084564E0,-1.633942127E-1
3.838570872E1,-5.485575199E-1,6.357259750E-1,7.178544998E-3
3.839370445E1,-5.542022586E-1,3.607721329E-1,1.933276653E-1
3.840170134E1,-6.420714259E-1,2.012271881E-1,3.479022980E-1
3.840969561E1,-7.994563580E-1,3.001699448E-1,5.100731850E-1
3.841769096E1,-9.753171206E-1,4.347257614E-1,8.783547878E-1
3.842571692E1,-9.751771688E-1,3.672657013E-1,1.132736206E0
3.843371296E1,-8.280882239E-1,1.356887817E-1,1.255084038E0
3.844170900E1,-5.964923501E-1,-1.358633041E-1,1.244403124E0
3.844970443E1,-4.025263190E-1,-3.947896957E-1,1.142478228E0
3.845769986E1,-2.565943003E-1,-6.168909073E-1,8.726661205E-1
3.846569590E1,-1.357702613E-1,-8.328256607E-1,5.061299801E-1
3.847369125E1,-3.314751387E-2,-8.454818726E-1,2.062621117E-1
3.848171806E1,4.836404324E-2,-8.458938599E-1,-1.141765118E-1
3.848971348E1,-1.776504517E-2,-8.338365555E-1,-2.808487415E-1
3.849770983E1,-1.354913116E-1,-8.238515854E-1,-2.432253361E-1
3.850570433E1,-1.832522750E-1,-8.353471756E-1,-6.082987785E-2
3.851370007E1,-1.451597214E-1,-9.119472504E-1,3.884792328E-3
3.852169642E1,-2.265129089E-1,-9.700222015E-1,7.554936409E-2
3.852969154E1,-3.233439326E-1,-1.122556686E0,1.866960526E-2
3.853771719E1,-3.685936928E-1,-1.281083107E0,5.143690109E-2
3.854571323E1,-4.482295513E-1,-1.491767883E0,1.159546375E-1
3.855370897E1,-4.167540669E-1,-1.666259289E0,2.607560158E-2
3.856170493E1,-4.347710609E-1,-1.821224213E0,-1.106586456E-1
3.856970043E1,-3.824142814E-1,-1.980523109E0,-3.158295155E-1
3.857769617E1,-2.969436646E-1,-2.104910374E0,-5.341968536E-1
3.858569190E1,-2.469400167E-1,-2.179941177E0,-8.062837124E-1
3.859371802E1,-2.612062693E-1,-2.166699886E0,-9.613671303E-1
3.860171352E1,-2.474714518E-1,-2.136777878E0,-9.884641171E-1
3.860970856E1,-2.819733620E-1,-2.018469334E0,-9.094314575E-1
3.861770553E1,-2.461506128E-1,-1.929416656E0,-9.320056438E-1
3.862570011E1,-2.597618103E-1,-1.846108913E0,-8.656523228E-1
3.863369615E1,8.385026455E-2,-2.175158501E0,-9.296265841E-1
3.864169188E1,4.883432388E-2,-2.022286415E0,-1.017331839E0
